timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimate.qw,stateEstimate.qx,stateEstimate.qy,stateEstimate.qz
3932.795,0,0,23,0.9999989867210388,5.851390142197488e-06,0.00014265959907788783,-2.561401743150782e-05
3936.778,0,0,23,0.9999989867210388,5.851390142197488e-06,0.00014265959907788783,-2.561401743150782e-05
3940.688,0,0,23,0.9999989867210388,-1.1937630006286781e-05,0.00014511446352116764,-2.6561981940176338e-05
3944.685,0,0,23,0.9999989867210388,-1.1937630006286781e-05,0.00014511446352116764,-2.6561981940176338e-05
3948.586,0,0,23,0.9999989867210388,-1.1937630006286781e-05,0.00014511446352116764,-2.6561981940176338e-05
3952.535,0,0,23,0.9999989867210388,-1.663623879721854e-05,0.0001494541938882321,-1.30305134007358e-05
3956.515,0,0,23,0.9999989867210388,-1.663623879721854e-05,0.0001494541938882321,-1.30305134007358e-05
3960.43,0,0,23,0.9999989867210388,-2.10559883271344e-05,0.00016111980949062854,-1.13142541522393e-05
3964.426,0,0,23,0.9999989867210388,-2.10559883271344e-05,0.00016111980949062854,-1.13142541522393e-05
3968.328,0,0,23,0.9999989867210388,-2.10559883271344e-05,0.00016111980949062854,-1.13142541522393e-05
3972.28,0,0,23,0.9999989867210388,-1.8060634829453193e-05,0.00016615766799077392,-2.75284105555329e-06
3976.259,0,0,23,0.9999989867210388,-1.8060634829453193e-05,0.00016615766799077392,-2.75284105555329e-06
3980.171,0,0,23,0.9999989867210388,-2.3212651285575703e-05,0.00016878051974344999,-2.538862702294864e-07
3984.166,0,0,23,0.9999989867210388,-2.3212651285575703e-05,0.00016878051974344999,-2.538862702294864e-07
3988.068,0,0,23,0.9999989867210388,-2.3212651285575703e-05,0.00016878051974344999,-2.538862702294864e-07
3992.016,0,0,23,0.9999989867210388,-3.0755993066122755e-05,0.00016868578677531332,7.988830475369468e-06
3995.996,0,0,23,0.9999989867210388,-3.0755993066122755e-05,0.00016868578677531332,7.988830475369468e-06
3999.912,0,0,23,0.9999989867210388,-4.3598029151326045e-05,0.000172610001754947,1.1174275641678832e-05
4003.907,0,0,23,0.9999989867210388,-4.3598029151326045e-05,0.000172610001754947,1.1174275641678832e-05
4007.813,0,0,23,0.9999989867210388,-4.3598029151326045e-05,0.000172610001754947,1.1174275641678832e-05
4011.756,0,0,23,0.9999989867210388,-3.841368015855551e-05,0.00018163997447118163,7.543575065938057e-06
4015.748,0,0,23,0.9999989867210388,-3.841368015855551e-05,0.00018163997447118163,7.543575065938057e-06
4019.658,0,0,23,0.9999989867210388,-2.100769052049145e-05,0.00016458779282402247,9.95201935438672e-06
4023.65,0,0,23,0.9999989867210388,-2.100769052049145e-05,0.00016458779282402247,9.95201935438672e-06
4027.557,0,0,23,0.9999989867210388,-2.100769052049145e-05,0.00016458779282402247,9.95201935438672e-06
4031.505,0,0,23,0.9999989867210388,-1.902853728097398e-05,0.00017076321819331497,6.9394641286635306e-06
4035.485,0,0,23,0.9999989867210388,-1.902853728097398e-05,0.00017076321819331497,6.9394641286635306e-06
4039.401,0,0,23,0.9999989867210388,-1.9958853954449296e-05,0.0001540916709927842,6.643371648351604e-07
4043.391,0,0,23,0.9999989867210388,-1.9958853954449296e-05,0.0001540916709927842,6.643371648351604e-07
